[0.00s -> 2.16s]  All right, guys.
[2676.40s -> 2682.20s]  cool things like race wise and not race wise, like race wise doing like TSP this
[2682.20s -> 2690.04s]  year and March was super cool, like with a relay and just seeing that side of
[2690.04s -> 2695.36s]  running, which is a little bit different, you know, kind of like a little bit more
[2695.36s -> 2700.60s]  trendier, a little bit more dirt baggy, more eyes on it.
[2700.72s -> 2701.84s]  So that was super cool.
[2702.44s -> 2707.12s]  Everybody on the team there was like, I felt like we're all complete strangers
[2707.12s -> 2710.60s]  and then we meet up to do this race and like, it felt like I was friends with
[2710.60s -> 2712.44s]  these guys for multiple years.
[2712.44s -> 2713.68s]  Like I felt like I already knew them.
[2713.68s -> 2714.92s]  So that was super cool.
[2714.92s -> 2718.80s]  TSP was like your first experience or entry into kind of like the sponsored or
[2718.80s -> 2722.72s]  supported type of, was that where you got hooked up with some of the run crews
[2722.72s -> 2724.40s]  and the brand that have been helping you since then?
[2724.84s -> 2730.40s]  Yeah, that's, uh, I had a couple of buddies that work for on that were part of the
[2730.40s -> 2732.00s]  team, Ben and Christian.
[2733.24s -> 2738.80s]  And so having them on the team and like helped us out with a lot of like, you
[2738.80s -> 2743.60s]  know, funding and they kidded us out and I still have a couple of shoes that they
[2743.60s -> 2746.84s]  gave us that I still run in and I still wear the shorts.
[2746.84s -> 2751.36s]  I still like, man, I on make some great stuff and.
[2752.60s -> 2757.40s]  But yeah, that was like my first like, oh, like these brands will like pay for all
[2757.40s -> 2759.92s]  this, like, but I was like, that's pretty cool.
[2759.92s -> 2763.28s]  I was like, man, because it's, it's pretty expensive to do TSP.
[2764.12s -> 2768.36s]  So, uh, that was my first like view of like what it means to actually
[2768.36s -> 2769.88s]  be sponsored by someone.
[2770.60s -> 2770.92s]  Yeah.
[2770.92s -> 2776.60s]  I just doing a lot of cool, like self-supported things here with a couple of buddies.
[2777.72s -> 2785.04s]  I forgot exactly when, but we did this like 56 mile run with like 15,000 feet of
[2785.04s -> 2789.24s]  climbing here in Tucson, just hitting like essentially like every peak here in Tucson.
[2789.24s -> 2795.32s]  So like, man, just trying to share miles and knowledge with like just everybody I
[2795.32s -> 2799.96s]  know and just trying to like prepare myself here, like all year for saddles.
[2800.20s -> 2800.56s]  Right.
[2800.92s -> 2801.20s]  Yeah.
[2801.52s -> 2801.88s]  Yeah, dude.
[2801.88s -> 2804.80s]  I was like, dude, this guy's living his best life right now, man.
[2804.80s -> 2806.52s]  After, after black Canyon.
[2806.52s -> 2806.68s]  Yeah.
[2806.68s -> 2811.16s]  You did TSP and everything was taken off and I was seeing just like, yeah, a lot
[2811.16s -> 2812.24s]  of opportunities come your way.
[2812.24s -> 2816.60s]  So it was really fun to, you know, cheer you on and, and give you kudos from afar.
[2817.00s -> 2821.56s]  Now, so we're all here because you recently just did something that is absolutely
[2821.64s -> 2822.32s]  incredible.
[2822.40s -> 2826.24s]  Um, you know, I don't think it's, it's, it's common at all.
[2826.24s -> 2830.80s]  I don't think it's something that I've seen within the sport where, you know, within 12
[2830.80s -> 2836.36s]  months of getting into running, you go from 27 or so hours with your first finish.
[2836.40s -> 2840.48s]  And then the next year you come back and absolutely crushed the race and win it.
[2840.48s -> 2844.20s]  So, yeah, I mean, you come back to saddles for a year too.
[2844.40s -> 2847.16s]  I know personally from talking to you, you had some big goals for yourself.
[2847.16s -> 2852.32s]  You knew what you wanted to do from the gate, from the gun, but the week before,
[2852.32s -> 2858.52s]  or was it like 10 days before you put together another support, uh, effort for
[2858.52s -> 2861.56s]  somebody else wanting to do a big endurance effort.
[2861.56s -> 2862.28s]  Tell us about that.
[2862.28s -> 2865.44s]  What was the week before when people are usually tapering like for you?
[2865.44s -> 2868.36s]  I don't think a lot of people know this and it's mind boggling.
[2869.12s -> 2869.40s]  Yeah.
[2869.80s -> 2873.44s]  So I had, uh, my, uh, good friend Dante.
[2873.84s -> 2880.84s]  He, uh, we did this big journey where we ran from Colorado Springs to Moab.
[2881.88s -> 2888.80s]  And it was 500 miles and yeah, he got a cramp.
[2889.28s -> 2889.56s]  Huh?
[2889.68s -> 2890.48s]  In six days?
[2891.20s -> 2896.72s]  Um, that is, uh, we shot a documentary about it and kind of signed it NDA.
[2896.72s -> 2899.04s]  So you're just going to have to watch when it comes out.
[2899.16s -> 2908.08s]  So yeah, but, um, yeah, we ran from Colorado Springs to Moab and I was just
[2908.08s -> 2913.04s]  super hyper focused on getting my friend Dante to point it point B.
[2913.80s -> 2918.88s]  And I was like putting in like over 50 K every day that was out there.
[2919.52s -> 2924.48s]  And I realized that in four days I had saddles and I had, I was like, oh,
[2924.48s -> 2925.84s]  like I should probably stop running.
[2926.40s -> 2926.72s]  Yeah.
[2927.08s -> 2931.64s]  By then, like I already had like over 230 miles on my legs.
[2932.60s -> 2934.32s]  I was like, Oh, I should probably stop.
[2935.08s -> 2938.88s]  So can you share how much approximate invert gain you had as well?
[2939.36s -> 2940.52s]  Um, or no.
[2940.92s -> 2941.16s]  Yeah.
[2941.16s -> 2941.36s]  Okay.
[2941.68s -> 2945.44s]  Over, over 20,000 for sure.
[2946.40s -> 2946.64s]  Yeah.
[2946.88s -> 2951.32s]  I think it was more than that because I know your Strava, but anyway, so I mean,
[2952.88s -> 2954.48s]  I was scratching my head, dude.
[2954.48s -> 2956.12s]  Like this is how you've done this before.
[2956.12s -> 2960.12s]  Cause you ran that 50 K out in California that my buddy was crewing or was an aid
[2960.12s -> 2964.40s]  station captain and like, yeah, again, you, you blew through like one of the
[2964.40s -> 2966.60s]  critical aid stations, you didn't take on water.
[2966.64s -> 2967.68s]  It was a hot day.
[2967.72s -> 2971.16s]  They had a lot of people like medevac out of there and, and you went out hot
[2971.16s -> 2975.20s]  and like, yeah, you ended up like having a, a come to Jesus moment on the trail.
[2975.20s -> 2975.44s]  I think.
[2975.44s -> 2977.28s]  And, and you bonked, right?
[2977.28s -> 2978.52s]  Let's, let's call it what it was.
[2979.16s -> 2982.40s]  And then I'm like, dude, here's Johnny again, going out and doing something
[2982.56s -> 2985.12s]  crazy and stupid before saddles, but you proved me wrong.
[2985.12s -> 2986.32s]  You know, I ate my word.
[2986.32s -> 2993.84s]  So I, uh, I love doing stupid things if you haven't kindred realization, but yeah.
[2993.84s -> 2996.92s]  It's obviously not a proper taper week whatsoever.
[2997.68s -> 3005.84s]  And I like at that time and I like, still like, I, I was more worried about my friend
[3006.48s -> 3012.24s]  getting him, you know, to do his journey than like my, like, my, my, my, my, my
[3012.24s -> 3013.92s]  like dumb little a hundred mile race.
[3013.92s -> 3016.36s]  Like I was like, I don't care.
[3016.36s -> 3020.36s]  This is, this is like, this is bigger than like me or him.
[3020.36s -> 3025.80s]  So I was a hundred percent on and on Dante and like getting him there.
[3025.80s -> 3030.60s]  So my, my a hundred, my race like took so many backstabs.
[3030.60s -> 3032.32s]  I completely forgot about it.
[3033.00s -> 3039.72s]  And yeah, I think, uh, being up in altitude and like putting all that time on feet,
[3039.76s -> 3041.36s]  like really helped me maybe.
[3042.48s -> 3045.00s]  Maybe it's, it's hard to say because like,
[3045.20s -> 3046.80s]  Hard to argue with the results, but
[3046.92s -> 3047.92s]  Yeah, it is hard.
[3048.20s -> 3051.04s]  But like, could I run it faster if I did like taper?
[3051.60s -> 3057.08s]  But so that's a question I'll always ask, but yeah, I'm just super grateful that
[3057.08s -> 3064.72s]  like Dante had me out there and yeah, it was such a wild journey.
[3064.72s -> 3067.52s]  I'm still trying to process that whole, that whole journey.
[3067.88s -> 3071.96s]  I think that week just renewed some negativity for you as we're kind
[3071.96s -> 3075.52s]  of talking right now is that like, if that week would have been free and you
[3075.52s -> 3079.64s]  would have had downtime, I think you would have like overanalyzed, you would
[3079.64s -> 3084.04s]  have overstressed about saddles and you would have come in kind of like frazzled
[3084.04s -> 3090.20s]  a bit, but like being distracted in such a healthy way where like you're pouring
[3090.20s -> 3095.36s]  into somebody else's journey and you know that what you're trying to do is not on
[3095.36s -> 3099.36s]  the same level of what this project is for, for somebody else and what it means
[3099.40s -> 3099.84s]  to them.
[3100.60s -> 3104.08s]  It like, yeah, it allowed you to come back into saddles with like kind of that, like
[3104.36s -> 3108.40s]  open mind and just like, okay, well, let's just see what's possible rather than like
[3109.40s -> 3113.32s]  trying to go attack splits that you probably would have engineered for yourself.
[3113.32s -> 3116.80s]  And who knows what that would have spiraled into and what the day would have
[3116.80s -> 3117.24s]  looked like.
[3117.24s -> 3121.16s]  So again, I wouldn't say that that's like the best thing to do, but certainly
[3121.16s -> 3121.92s]  worked out for you.
[3121.92s -> 3125.80s]  So you get back to saddles, a lot of familiar faces, I'm sure, you know, the
[3125.84s -> 3126.40s]  course.
[3126.88s -> 3131.00s]  And we talked a little bit, but yeah, I mean, tell the audience, were you there
[3131.00s -> 3133.56s]  to win it or were you there just to have your best day?
[3134.56s -> 3136.12s]  I was there just to have my best day.
[3136.16s -> 3139.20s]  I was shooting for a sub 22 hour finish.
[3139.20s -> 3142.64s]  I thought that was going to be, you know, a pretty hard push on my end.
[3143.60s -> 3148.52s]  Um, just, I think I, I set that goal because essentially I had a 230 mile
[3148.68s -> 3151.68s]  taper week, so I was just like, yeah, my legs probably won't respond.
[3151.72s -> 3153.24s]  I felt good like leading up to it.
[3153.24s -> 3155.32s]  Like my, I wasn't waking up sore.
[3155.36s -> 3157.00s]  Felt pretty good.
[3157.00s -> 3161.96s]  Like, yeah, race day, I woke up pretty good, but yeah, I got 22 hour finish was
[3161.96s -> 3164.28s]  going to be like, uh, our harder day for me.
[3164.92s -> 3172.20s]  And I uploaded the course on my watch and I just had like the course map feature on.
[3172.32s -> 3175.20s]  I didn't have like the pacing or anything, the heart rate or I didn't like,
[3175.20s -> 3176.44s]  I really care about that, honestly.
[3177.00s -> 3180.76s]  So I told myself and I was telling you, I'm going to try to like stay, stay with
[3180.76s -> 3185.20s]  like top five the whole time, top 10, not like, you know, allow myself like a bad
[3185.20s -> 3191.04s]  positioning, so right at the start line, I put myself like right there, right in
[3191.04s -> 3194.84s]  the front and timer goes off.
[3194.96s -> 3202.92s]  We, we all like started going a pretty good pace and, um, I think like two
[3202.92s -> 3208.44s]  miles in there's a, my friend Ivan that lives here in Tucson, we were kind of
[3208.48s -> 3210.84s]  sharing a couple of miles, like the first couple of miles.
[3211.24s -> 3214.64s]  I was curious if you guys were buddies, like outside of, you know, like in
[3214.64s -> 3217.08s]  personal lives, like you guys are, you guys know each other.
[3217.44s -> 3220.28s]  Yeah, we, um, we talk a lot on social media.
[3220.32s -> 3226.00s]  We've met maybe twice prior to Saddles, just at the run club that we go to.
[3227.16s -> 3229.64s]  Uh, no, we, I definitely got to connect with them more.
[3229.64s -> 3233.92s]  He's a super solid runner, super, super solid runner.
[3234.76s -> 3240.28s]  Um, yeah, we started chatting away at the race and then we, uh, once we get off the
[3240.28s -> 3243.12s]  road and we actually like hit the trail, I actually forgot my headlamp.
[3243.12s -> 3247.16s]  So I was like running without a headlamp the first, you know, hour and a half of
[3247.16s -> 3249.12s]  like the sun coming up.
[3249.12s -> 3253.44s]  So I positioned myself with like the fast guys and like I positioned myself
[3253.44s -> 3257.48s]  like in front of like one guy that I was like right in the middle.
[3257.48s -> 3260.28s]  I was like sandwiched, you know, I was just using their headlamps.
[3260.64s -> 3264.40s]  So, and they're like 50 milers and we're like right, right off the rip.
[3264.48s -> 3267.12s]  Oh, I was like top six.
[3268.24s -> 3274.40s]  And I was like trying to like look around, see, see who's in front of me.
[3274.40s -> 3279.12s]  And I immediately knew that everybody in front of me was all 50 miler guys.
[3279.20s -> 3286.84s]  So I'd let the race from mile one to a hundred, but, um, yeah, I was
[3287.72s -> 3288.80s]  just trying to feel good.
[3290.28s -> 3291.44s]  I wasn't looking at my pace.
[3291.44s -> 3298.04s]  I was just looking at the course map and I knew, I knew I was going to win it
[3298.08s -> 3300.08s]  like after 30 something miles.
[3300.12s -> 3304.20s]  I forgot what age station it was, but my, uh, my friends were texting me in
[3304.20s -> 3307.88s]  this group chat, they're like, you already have like a 30 minute lead on second place.
[3308.36s -> 3312.16s]  And that's like in my mind when it clicked, when I was just like, um, I'm
[3312.16s -> 3316.04s]  going to win this just based on how I was feeling and just how, how much I
[3316.04s -> 3317.64s]  wanted it for sure.
[3318.36s -> 3324.56s]  And yeah, just showing up to the 50 mile age station, like in under eight hours,
[3325.16s -> 3331.84s]  still feeling phenomenal, like feeling like I hadn't ran 50 miles and just
[3331.92s -> 3334.60s]  spending as much less time as I could.
[3334.60s -> 3337.84s]  Like at every age station, I was like essentially at every age station, less
[3337.84s -> 3342.32s]  than like two minutes and yeah, man, I was just running off field to be honest
[3342.32s -> 3344.72s]  with you, Brian, like I didn't really like look at my pace.
[3345.16s -> 3346.40s]  I didn't know what my pace was.
[3347.08s -> 3347.36s]  That's why.
[3347.48s -> 3352.08s]  You know, like, I didn't know what time, like I showed up to, uh, the 50 mile
[3352.08s -> 3353.48s]  age station until after the race.
[3353.48s -> 3355.00s]  I was like, well, I did it in sub eight.
[3355.00s -> 3355.56s]  Like that's cool.
[3356.24s -> 3363.32s]  Uh, so yeah, just literally just trusting my legs and just, just making
[3363.32s -> 3365.60s]  sure I wasn't blown up and.
[3367.48s -> 3369.24s]  Dude, I'm still like trying to process it.
[3369.24s -> 3370.40s]  Like I can't believe I did that.
[3371.08s -> 3375.08s]  So how was, so if the pace was going off of field, were there times where like
[3375.12s -> 3378.88s]  your crew missed you or were they catching on that like, all right, this
[3378.88s -> 3381.48s]  guy's pace seems kind of going faster than maybe what he projected.
[3381.48s -> 3385.20s]  Cause I would imagine that like you'd given them some general outline of like
[3385.20s -> 3388.72s]  where to be and at what time, like how, how did that all of a sudden change?
[3389.24s -> 3389.64s]  Yeah.
[3389.76s -> 3395.68s]  Um, I just shared my location and there was a lot of moments where I was out
[3395.68s -> 3400.20s]  running on the course and I was like texting and like, you know, I was texting
[3400.20s -> 3404.12s]  and running probably, probably should have got arrested for that.
[3405.92s -> 3406.20s]  Yeah.
[3406.20s -> 3409.60s]  I was just trying to like, keep them updated, like on like, I was like, oh,
[3409.60s -> 3413.36s]  like I'm feeling really good, like this and that, but they did a really good job
[3413.36s -> 3418.00s]  just tracking me on my phone and showing up to every aid station, but I would say
[3418.00s -> 3425.80s]  the first, like from mile zero, like from one to like 70, like I was just like in
[3425.80s -> 3429.64s]  and out, like I didn't even like need my crew there, like essentially, but like I
[3429.64s -> 3433.56s]  was grateful that they were there, you know, my, uh, friend, Bo and Connor.
[3434.16s -> 3435.44s]  Well, it's from a Phoenix.
[3435.48s -> 3436.68s]  Bo lives here in Tucson.
[3437.20s -> 3438.20s]  Super solid runner.
[3438.68s -> 3442.44s]  Connor, I met him at this backyard back in January.
[3443.76s -> 3448.04s]  So like, yeah, like they reached out and they're like, Hey, do you have a crew?
[3448.84s -> 3453.16s]  And that was like three days before saddles.
[3453.16s -> 3454.20s]  I was just like, I do not.
[3454.24s -> 3456.76s]  And they're like, like, it's like, I could come out and help.
[3456.76s -> 3458.40s]  I was like, please, I would love that.
[3458.40s -> 3461.96s]  So super last minute, like I'm super grateful for both of them.
[3461.96s -> 3465.28s]  Like they, they helped out so much.
[3465.28s -> 3466.60s]  Like it was super cool.
[3466.60s -> 3470.44s]  Like, yeah, I don't know what I would have done without them for sure.
[3471.04s -> 3471.44s]  Cool, man.
[3471.64s -> 3476.00s]  Was that that one event that we connected at here in, uh, at usury?
[3476.04s -> 3476.96s]  Was that the event?
[3476.96s -> 3477.44s]  You know, okay.
[3477.72s -> 3478.44s]  Yeah, that was a cool vibe.
[3478.44s -> 3479.12s]  That was in January, right?
[3479.40s -> 3480.48s]  Yeah, I think so.
[3480.48s -> 3480.88s]  Yeah.
[3481.32s -> 3481.64s]  Yeah.
[3481.64s -> 3486.64s]  So Connor, that's where I met Connor and then, uh, Bo, I met him like here in
[3486.64s -> 3488.44s]  Tucson, just going to the run club.
[3489.28s -> 3491.44s]  What was, uh, what was fueling like?
[3491.48s -> 3495.40s]  Like how did you fuel for something that you were, uh, same thing?
[3495.40s -> 3500.80s]  Were you just going off a field like, or have you gone back to, so, I mean, I
[3500.80s -> 3504.20s]  think, yeah, maybe you got to, you got some homework to do because you put
[3504.20s -> 3505.84s]  together an incredible race.
[3506.36s -> 3510.56s]  I feel like you want to try and replicate that again, when you go do
[3510.56s -> 3514.36s]  another hundred mile or so, have you kind of pieced together what you
[3514.36s -> 3516.28s]  think you fueled like or.
[3517.04s -> 3517.44s]  Yeah.
[3517.76s -> 3517.96s]  Yeah.
[3518.08s -> 3518.28s]  Yeah.
[3518.28s -> 3524.96s]  So, um, these past couple of races, I've been really focused on electrolytes.
[3525.32s -> 3529.68s]  After that, uh, race in California where I bonked super hard, I was like, man,
[3529.68s -> 3531.16s]  I'm never going to go through that again.
[3531.24s -> 3535.40s]  And that was just off of lack of taking in electrolytes, you know?
[3536.56s -> 3540.80s]  I was just, yeah, the whole time at Saddles, I was like focused on like
[3540.84s -> 3548.64s]  every 45 minutes to an hour, I'd at least like take at least 500, uh,
[3548.92s -> 3553.20s]  milligrams of like sodium or whatever, you know, just like these unflavored capsules.
[3553.52s -> 3555.12s]  So I was like really on top of that.
[3555.16s -> 3563.52s]  And then for like fueling wise, like Brian, I kid you not, I probably had
[3563.52s -> 3569.24s]  like six Martin gels and then a couple of Martin bottles and that's it.
[3569.40s -> 3570.80s]  It's good to be young, I guess.
[3572.00s -> 3573.40s]  And a lot of watermelon too.
[3573.44s -> 3575.92s]  Watermelon fuels me, I guess.
[3575.96s -> 3582.36s]  But yeah, I still, I have zero fueling plants whatsoever.
[3582.68s -> 3588.36s]  And like zero, zero, like, uh, like organ issues, right?
[3588.36s -> 3590.56s]  Like no rhabdo piss wasn't coming out hot.
[3590.56s -> 3594.72s]  Like everything was chill or that left face doesn't look good.
[3594.72s -> 3595.16s]  So tell me.
[3595.36s -> 3595.64s]  Yeah.
[3597.92s -> 3602.24s]  I mean, I, I peed twice during the race and it was like, I was just like, oh,
[3603.40s -> 3604.20s]  you know, right.
[3604.32s -> 3606.72s]  But, um, I mean, I felt fine.
[3606.72s -> 3613.52s]  And then Sunday I like, you know, kept being dark and it's like, I just like
[3613.52s -> 3616.92s]  couldn't go over this, like these like weird like body chills, you know?
[3617.40s -> 3622.52s]  And, you know, I have like the best like, uh, health coverage.
[3622.52s -> 3624.04s]  So I was just like, ah, I'm going to go use it.
[3624.08s -> 3628.92s]  So I go to the doctor and they tested me for rhabdo and it wasn't severe, but I
[3628.92s -> 3630.40s]  did have like levels of rhabdo.
[3630.76s -> 3631.12s]  Right.
[3631.56s -> 3631.88s]  Yeah.
[3632.56s -> 3635.96s]  And like, in my mind, I'm like, you're telling me these six Martin
[3635.96s -> 3637.80s]  gels didn't hold me over for a hundred miles.
[3637.80s -> 3641.52s]  Like, come on, you know, but no, it wasn't severe.
[3641.52s -> 3647.00s]  Like they're, they just gave me one IV bag, but yeah, I, yeah, even with training,
[3647.00s -> 3650.48s]  like I just run off field, like I don't have a training program.
[3650.48s -> 3651.32s]  I don't have a coach.
[3651.36s -> 3652.84s]  I don't have a fueling program.
[3653.52s -> 3656.16s]  I'm just like, I'm a dirt bag, I guess.
[3656.68s -> 3657.40s]  That's cool, man.
[3657.44s -> 3657.84s]  That's sick.
[3657.84s -> 3658.36s]  I think, yeah.
[3659.44s -> 3661.72s]  Win one for the 95 and the dirt bags out there.
[3661.72s -> 3663.72s]  So, you know, just embrace it.
[3664.84s -> 3665.12s]  Yeah.
[3665.24s -> 3668.52s]  So you said at mile 30, you kind of felt like the, the wind was yours.
[3668.52s -> 3670.92s]  Just kind of, you know, keep your head down and get it done.
[3671.52s -> 3674.44s]  So as you're, yeah, as you're coming through the night, then early morning
[3674.44s -> 3676.04s]  hours, it's starting to sink in.
[3676.04s -> 3679.68s]  Like, what are those two miles like coming back into Prescott, realizing
[3679.68s -> 3682.56s]  that you're going to realize a goal of like, not just winning a hundred
[3682.56s -> 3684.24s]  mile or, but winning, winning saddles.
[3684.24s -> 3687.80s]  And, you know, you know, who's waiting for you at the finish line.
[3687.88s -> 3689.12s]  I see that you're wearing the chain.
[3689.12s -> 3691.68s]  Like what was going through your mind as you're coming up the street?
[3692.24s -> 3697.12s]  Man, I will say like the last 16 miles of the race, that's when I picked up my
[3697.12s -> 3703.20s]  friend, Bo, and at that point I was still moving really good, but I definitely
[3703.20s -> 3708.08s]  started slowing down, you know, and it was nighttime and I just wanted to get off
[3708.08s -> 3709.28s]  that fucking mountain, dude.
[3709.40s -> 3710.72s]  I was so over the trails.
[3710.84s -> 3715.32s]  I was just like, dude, I was like, man, I get, I'm going to win this, but like,
[3715.36s -> 3716.88s]  let's, let's finish this out.
[3716.88s -> 3718.16s]  Like, I'm so over it.
[3718.16s -> 3719.36s]  Like I was kicking every rock.
[3719.36s -> 3724.44s]  I like could barely like pick up my feet, but I think it's like the last, like three
[3724.44s -> 3728.36s]  miles, that's when you finally get off the mountain, you like hit the road section
[3728.36s -> 3731.00s]  and then you got like run back on the road to like get to the square.
[3732.16s -> 3736.80s]  And yeah, once I hit the road, that's when I really started sinking in because
[3736.80s -> 3741.64s]  like prior to that, I was just like, get me off this mountain, like, it's just over
[3741.64s -> 3743.72s]  it, but yeah, hitting the road.
[3744.52s -> 3747.76s]  That's like, I was like, whoa, I'm about to win this.
[3747.76s -> 3751.60s]  Like, you know, like, like what, what just played out?
[3751.88s -> 3752.92s]  Like what just played out?
[3752.92s -> 3755.32s]  Because I knew I was, it was going to be course record time.
[3755.76s -> 3759.16s]  Once I hit the road, I like looked at my watch and it was like, I'd been running
[3759.16s -> 3761.32s]  for like 17 hours and like 40 something minutes.
[3761.32s -> 3764.56s]  So I was like, Oh, let me try to, let me try to go sub 18.
[3765.24s -> 3766.64s]  So I had that goal in mind.
[3766.64s -> 3771.32s]  So like, once I hit the road, I had like another sub like little goal of like trying
[3771.32s -> 3774.76s]  to get to the finish line before the 18 hour mark.
[3775.40s -> 3778.80s]  So I was like ripping like eight minutes miles, you know, just on the road.
[3779.44s -> 3785.24s]  And yeah, man, it was, it was, it was cool to see because like, you know, I like
[3785.32s -> 3791.64s]  pretty hard on myself and I don't think I like deserve like these, these good things.
[3791.68s -> 3796.20s]  And sometimes like, I just feel like I'm just like wasting time with like training
[3796.20s -> 3801.68s]  or sacrificing my time away from like friends and family just to do these, like,
[3801.68s -> 3805.04s]  you know, reduces a long runs.
[3805.04s -> 3809.28s]  Like it was cool to like see it like work out in that way, you know, where it's like,
[3810.00s -> 3816.32s]  Oh, I spent this whole year like for this, you know, and now it's, it's coming true.
[3816.52s -> 3817.20s]  It's coming true.
[3817.24s -> 3820.88s]  So yeah, it was, it was a really good feeling.
[3821.44s -> 3822.20s]  That's heavy, man.
[3822.64s -> 3822.96s]  Yeah.
[3823.76s -> 3823.88s]  Yeah.
[3823.88s -> 3829.32s]  I mean, I hope you start to find more comfort in appreciating yourself as
[3829.32s -> 3831.48s]  much as others appreciate Johnny.
[3831.68s -> 3835.60s]  You know, I think that's one thing that like, you know, just as it's probably hard
[3835.60s -> 3841.24s]  for, for us to like, we're hard, our heart is critic, like we can be so good and take
[3841.24s -> 3845.60s]  care of others, we can wash their feet, you know, do the most humbling things for
[3845.60s -> 3848.76s]  people, but then when it comes to ourselves, maybe we're the last one to, to
[3848.80s -> 3849.64s]  take care of ourselves.
[3849.64s -> 3851.64s]  So, man, just encourage you, dude.
[3851.64s -> 3852.96s]  You, you definitely deserve it.
[3853.12s -> 3856.80s]  Uh, there was a whole community, I know people that were just stoked for you and
[3857.32s -> 3861.72s]  kind of like, uh, yeah, like emotional for you just because we knew how much it meant
[3861.72s -> 3864.76s]  to you and how much you'd sacrificed and you know, how much you wanted it.
[3864.76s -> 3870.00s]  So, yeah, hopefully that gets a little bit easier for you to get used to good
[3870.00s -> 3870.88s]  things happening to you.
[3871.72s -> 3872.04s]  Yeah.
[3872.24s -> 3875.80s]  I, yeah, I, I struggle with that a lot, man.
[3875.88s -> 3879.84s]  Just like, what do I deserve and what don't I deserve, you know?
[3879.84s -> 3881.80s]  And yeah, I just went out, man.
[3881.96s -> 3882.16s]  Yeah.
[3882.16s -> 3883.76s]  It was, it was, it was big, man.
[3885.08s -> 3885.48s]  Yeah.
[3885.64s -> 3893.00s]  It's, uh, yeah, just like, I don't know, like, you know, my, like my why is like,
[3893.12s -> 3894.88s]  it's just like not for me, right?
[3895.32s -> 3903.68s]  It's like for my family and I want to position myself like one day to like, be
[3903.72s -> 3907.84s]  like signing this six figure contracts, you know, and I just want like, want to
[3907.84s -> 3909.16s]  give back to my family, you know?
[3910.12s -> 3915.68s]  So to see things work out like that and just like have a little bit more hope for
[3915.68s -> 3918.68s]  the future, like makes me emotional, man.
[3918.68s -> 3923.32s]  Like, you know, like I'm willing to die on a trail to win a race.
[3924.04s -> 3930.12s]  If I could like, if that race or if that means like, I could like, you know, give
[3930.12s -> 3932.84s]  back to my family, like I'm going to die out there, like there's nobody that's
[3932.84s -> 3933.64s]  going to beat me that day.
[3934.96s -> 3937.80s]  I'm like, I'm Brian, I could, you know, I'm willing to die.
[3938.16s -> 3938.48s]  Yeah.
[3939.00s -> 3939.16s]  Yeah.
[3939.16s -> 3939.72s]  I don't doubt it.
[3939.96s -> 3943.52s]  I mean, it gives me, and I think some people, you know, you hear that and like,
[3944.36s -> 3948.96s]  they probably think of it in a way that's like, like David Goggins type of attitude.
[3948.96s -> 3950.08s]  I don't get that from you.
[3950.24s -> 3951.64s]  Um, so I just want to put that out there.
[3951.64s -> 3954.24s]  Like, yeah, I think what you're saying is genuine.
[3954.24s -> 3959.04s]  And I think, I think the way in the context in which you're saying it is also very
[3959.08s -> 3959.72s]  serving.
[3959.80s -> 3964.48s]  You're not saying I'll die out there on the trail because I want to be
[3964.64s -> 3969.52s]  memorialized or, you know, I want to be the warrior with all the, all the, you
[3969.52s -> 3970.20s]  know, all the praise.
[3970.20s -> 3973.56s]  Like what you're saying is I'm willing to sacrifice everything to give a little bit
[3973.56s -> 3975.76s]  back to people that mean the world to me.
[3975.80s -> 3979.92s]  So I think it's worth clarifying out there for everybody to understand, like, and
[3979.92s -> 3984.84s]  interpret that in a way that is honest in representing who you are and what you're
[3984.84s -> 3985.16s]  saying.
[3985.64s -> 3985.96s]  Yeah.
[3985.96s -> 3989.00s]  I, I'm not trying to be masculine.
[3989.00s -> 3995.84s]  Like I, my parents came here to America, like with like, not knowing the language,
[3995.84s -> 4000.36s]  like just for the betterment of like me and my siblings, like how can I ever repay
[4000.36s -> 4000.60s]  that?
[4000.60s -> 4005.96s]  You know, like how I'm not always the best with like the way I feel in my emotion
[4005.96s -> 4009.60s]  towards my family and like my words suck.
[4009.60s -> 4013.52s]  Like I'm like tripping over my words, you know, here and there, but I'm like a very
[4013.60s -> 4018.80s]  big gift giver and like we grew up essentially very like poverty.
[4019.60s -> 4024.48s]  So like when we do have nice things, it feels really good, you know, so in a weird
[4024.48s -> 4029.96s]  way, like I think that grown up in that sense and then like being able to like
[4029.96s -> 4034.24s]  afford a little bit nicer things and having hope for the future where I could like
[4034.24s -> 4038.20s]  position myself to like, you know, be financially free.
[4039.00s -> 4044.88s]  That is like my biggest like, uh, sign of appreciation and gratitude towards my
[4044.88s -> 4051.04s]  parents of like, Hey, you came to this country for the betterment of like, not
[4051.04s -> 4055.96s]  you guys, but for your children, like, like here's a house, like, let me buy a
[4055.96s -> 4056.52s]  house for you.
[4056.52s -> 4062.80s]  Like that is my, my, my life to me essentially doesn't matter.
[4062.84s -> 4068.76s]  Like I want my parents life to be great for the time that they have left on this
[4068.76s -> 4069.24s]  planet.
[4069.24s -> 4074.44s]  So like, if I'm, if I have to sacrifice, like my time away from like doing like
[4074.60s -> 4079.00s]  your typical, like, you know, mid twenties things, like, and like, just go
